experiment,value,median_cost
k,1,3.5250110936889687
k,2,3.3758037761516553
k,3,3.3706113687771273
k,4,3.3706113687771273
k,5,3.3706113687771273
k,6,3.3706113687771273
k,7,3.3706113687771273
k,8,3.3706113687771273
k,9,3.3706113687771273
k,10,3.3706113687771273
num_repeats,1,3.4631018776210967
num_repeats,5,3.3706113687771273
num_repeats,10,3.3706113687771273
num_repeats,15,3.3706113687771273
num_repeats,20,3.3706113687771273
num_repeats,25,3.3706113687771273
