n_cities,median_runtime,median_cpu_time,median_cost,median_nodes_expanded
5,8333350.0,7812500.0,2.341011404638234,67.0
6,19000100.0,15625000.0,2.4142095311370904,139.0
7,64003200.0,70312500.0,2.519680887599521,388.5
8,415597500.0,421875000.0,2.6059009607281243,1801.0
9,851402100.0,851562500.0,2.8282355851905203,2948.0
10,758617050.0,765625000.0,2.886298001360694,2635.0
15,1622241997650.0,1618203125000.0,3.1465654975290214,124797.0
